episode,train goal?,train time (ms),train reward,train step,val goal?,val reward,val step
1,yes,1.9790000000057262,-43.02699999999998,71,,-60.06499999999995,125
2,yes,0.3709999999870206,-4.005999999999999,11,,-0.12500000000000008,125
3,yes,1.3200000000068712,-30.019000000000016,50,,-0.12500000000000008,125
4,yes,0.12499999999704414,-1,2,,-0.12500000000000008,125
5,yes,0.11700000000303135,-1,2,,-0.12500000000000008,125
6,yes,0.2190000000013015,-2.003,6,,-0.12500000000000008,125
7,yes,0.13400000000274304,-1,2,,-0.12500000000000008,125
8,yes,0.16699999999048032,-2.001,4,,-0.12500000000000008,125
9,yes,2.0080000000035625,-36.020999999999994,58,yes,-0.005,6
10,yes,0.6730000000061409,-18.003999999999998,23,yes,-0.005,6
11,yes,0.9379999999907795,-12.019000000000002,32,yes,-0.005,6
12,yes,0.23799999999596366,-0.005,6,yes,-0.005,6
13,yes,0.47800000000108867,-3.011999999999999,16,yes,-0.005,6
14,yes,0.889999999998281,-18.008999999999997,28,yes,-0.005,6
15,yes,0.8009999999956108,-11.018,30,yes,-0.005,6
16,yes,0.5409999999983484,-12.004999999999999,18,yes,-0.005,6
17,yes,0.3140000000030341,-3.0059999999999993,10,yes,-0.005,6
18,yes,0.5009999999998627,-7.0100000000000025,18,yes,-0.005,6
19,yes,0.529999999997699,-4.014000000000001,19,yes,-0.005,6
20,yes,0.2190000000013015,-2.0029999999999997,6,yes,-0.005,6
21,yes,0.4579999999947404,-6.009000000000002,16,yes,-0.005,6
22,yes,0.36699999999711963,-1.0099999999999998,12,yes,-0.005,6
23,yes,0.2460000000041873,-6,7,yes,-0.005,6
24,yes,1.5989999999987958,-31.03200000000001,64,yes,-0.005,6
25,yes,0.16899999999964166,-3,4,yes,-0.005,6
26,yes,0.38999999999589363,-5.007,13,yes,-0.005,6
27,yes,0.21099999999307784,-0.005,6,yes,-0.005,6
28,yes,0.2840000000077225,-2.0049999999999994,8,yes,-0.005,6
29,yes,0.5380000000059226,-7.011000000000001,19,yes,-0.005,6
30,yes,0.2910000000042601,-7.0009999999999994,9,yes,-0.005,6
31,yes,0.11200000000144428,-1,2,yes,-0.005,6
32,yes,0.38499999999430656,-4.008,13,yes,-0.005,6
33,yes,0.7449999999948886,-16.011,28,yes,-0.005,6
34,yes,0.16300000000057935,-1.0019999999999998,4,yes,-0.005,6
35,yes,0.6730000000061409,-14.008999999999999,24,yes,-0.005,6
36,yes,0.3600000000005821,-3.0079999999999996,12,yes,-0.005,6
37,yes,0.9419999999948914,-19.016,36,yes,-0.005,6
38,yes,0.6049999999930833,-9.011,21,yes,-0.005,6
39,yes,0.26400000000137425,-1.0059999999999998,8,yes,-0.005,6
40,yes,0.5969999999990705,-11.006,18,yes,-0.005,6
41,yes,0.16700000000469117,-1.002,4,yes,-0.005,6
42,yes,0.4440000000016653,-5.0089999999999995,15,yes,-0.005,6
43,yes,0.3150000000005093,-3.0059999999999993,10,yes,-0.005,6
44,yes,0.36300000000721866,-2.008999999999999,12,yes,-0.005,6
45,yes,0.7450000000090995,-7.020000000000005,28,yes,-0.005,6
46,yes,0.5079999999964002,-8.009,18,yes,-0.005,6
47,yes,0.5369999999942365,-8.008999999999997,18,yes,-0.005,6
48,yes,1.0679999999894108,-5.014,20,yes,-0.005,6
49,yes,0.6820000000118398,-11.012,24,yes,-0.005,6
50,yes,0.4440000000016653,-3.0109999999999992,15,yes,-0.005,6
51,yes,0.773999999992725,-20.008,29,yes,-0.005,6
52,yes,0.2649999999988495,-0.007,8,yes,-0.005,6
53,yes,0.6099999999946704,-4.014000000000002,19,yes,-0.005,6
54,yes,0.9419999999948914,-6.009,16,yes,-0.005,6
55,yes,0.3279999999961092,-2.0049999999999994,8,yes,-0.005,6
56,yes,0.24700000000166256,-1.0039999999999996,6,yes,-0.005,6
57,yes,0.41299999999466763,-5.007000000000001,13,yes,-0.005,6
58,yes,0.6070000000022446,-7.013000000000003,21,yes,-0.005,6
59,yes,0.3189999999904103,-5.003,9,yes,-0.005,6
60,yes,1.0410000000007358,-15.016999999999998,33,yes,-0.005,6
61,yes,0.3249999999894726,-4.0040000000000004,9,yes,-0.005,6
62,yes,0.37299999999618194,-0.005,6,yes,-0.005,6
63,yes,0.1620000000031041,-1,2,yes,-0.005,6
64,yes,0.2619999999922129,-3.002,6,yes,-0.005,6
65,yes,0.16400000001226545,-1.0019999999999998,4,yes,-0.005,6
66,yes,0.4300000000085902,-4.0089999999999995,14,yes,-0.005,6
67,yes,0.21000000000981345,-0.005,6,yes,-0.005,6
68,yes,0.4149999999896181,-2.0069999999999992,10,yes,-0.005,6
69,yes,0.6060000000047694,-8.011999999999997,21,yes,-0.005,6
70,yes,0.793000000001598,-10.017999999999997,29,yes,-0.005,6
71,yes,0.4440000000016653,-6.008000000000001,15,yes,-0.005,6
72,yes,0.27000000000043656,-6.0009999999999994,8,yes,-0.005,6
73,yes,0.16800000000216642,-1.0019999999999998,4,yes,-0.005,6
74,yes,0.4289999999969041,-3.009999999999999,14,yes,-0.005,6
75,yes,0.36900000000628097,-4.007,12,yes,-0.005,6
76,yes,0.4940000000033251,-7.009,17,yes,-0.005,6
77,yes,0.2740000000045484,-2.0049999999999994,8,yes,-0.005,6
78,yes,0.46299999999632746,-5.010000000000001,16,yes,-0.005,6
79,yes,0.36999999998954536,-2.009,12,yes,-0.005,6
80,yes,0.4530000000073642,-4.0089999999999995,14,yes,-0.005,6
81,yes,0.3169999999954598,-1.0079999999999996,10,yes,-0.005,6
82,yes,0.47000000000707587,-4.011000000000002,16,yes,-0.005,6
83,yes,0.36999999998954536,-1.009999999999999,12,yes,-0.005,6
84,yes,0.6599999999963302,-10.013,24,yes,-0.005,6
85,yes,0.4749999999944521,-5.01,16,yes,-0.005,6
86,yes,0.28500000000519776,-3.0039999999999996,8,yes,-0.005,6
87,yes,1.1920000000031905,-20.02499999999999,46,yes,-0.005,6
88,yes,0.5380000000059226,-7.010999999999999,19,yes,-0.005,6
89,yes,0.19799999999747797,-4,5,yes,-0.005,6
90,yes,0.2190000000013015,-0.005,6,yes,-0.005,6
91,yes,0.3790000000094551,-4.007,12,yes,-0.005,6
92,yes,0.6460000000032551,-1.0059999999999993,8,yes,-0.005,6
93,yes,0.5539999999939482,-5.009,15,yes,-0.005,6
94,yes,0.2479999999991378,-4.002,7,yes,-0.005,6
95,yes,0.8859999999941692,-17.015,33,yes,-0.005,6
96,yes,0.4670000000004393,-5.010000000000001,16,yes,-0.005,6
97,yes,0.2690000000029613,-3.0039999999999996,8,yes,-0.005,6
98,yes,0.46000000000390173,-4.011000000000001,16,yes,-0.005,6
99,yes,0.21499999999718966,-0.005,6,yes,-0.005,6
100,yes,1.1510000000072296,-24.01900000000001,44,yes,-0.005,6
101,yes,0.11299999999891952,-1,2,yes,-0.005,6
102,yes,0.5770000000069331,-6.011000000000002,18,yes,-0.005,6
103,yes,0.6699999999995043,-5.003,9,yes,-0.005,6
104,yes,0.3059999999948104,-1.0059999999999993,8,yes,-0.005,6
105,yes,0.3430000000008704,-2.0069999999999992,10,yes,-0.005,6
106,yes,0.28899999999509873,-1.0059999999999993,8,yes,-0.005,6
107,yes,0.6029999999981328,-8.012,21,yes,-0.005,6
108,yes,0.8610000000004447,-17.012,30,yes,-0.005,6
109,yes,0.4529999999931533,-5.009,15,yes,-0.005,6
110,yes,0.6719999999944548,-10.013999999999992,25,yes,-0.005,6
111,yes,0.36699999999711963,-6.005000000000002,12,yes,-0.005,6
112,yes,0.3870000000034679,-6.006000000000001,13,yes,-0.005,6
113,yes,0.34200000000339514,-6.0040000000000004,11,yes,-0.005,6
114,yes,0.44599999999661577,-6.008000000000001,15,yes,-0.005,6
115,yes,0.5620000000021719,-10.008999999999999,20,yes,-0.005,6
116,yes,0.36699999999711963,-3.007999999999999,12,yes,-0.005,6
117,yes,0.36500000000216914,-4.007,12,yes,-0.005,6
118,yes,0.7460000000065747,-8.019,28,yes,-0.005,6
119,yes,0.10400000000743148,-1,2,yes,-0.005,6
120,yes,0.5240000000128475,-6.011000000000001,18,yes,-0.005,6
121,yes,0.13299999999105694,-1,2,yes,-0.005,6
122,yes,0.3810000000044056,-4.007,12,yes,-0.005,6
123,yes,0.3060000000090213,-7.001,9,yes,-0.005,6
124,yes,0.3750000000053433,-7.0040000000000004,12,yes,-0.005,6
125,yes,0.12800000000368073,-1,2,yes,-0.005,6
126,yes,0.42499999999279225,-7.006000000000001,14,yes,-0.005,6
127,yes,0.4590000000064265,-2.010999999999999,14,yes,-0.005,6
128,yes,0.6339999999909196,-8.013999999999998,23,yes,-0.005,6
129,yes,0.28100000000108594,-6.0009999999999994,8,yes,-0.005,6
130,yes,0.12800000000368073,-1,2,yes,-0.005,6
131,yes,0.2539999999982001,-6,7,yes,-0.005,6
132,yes,0.2309999999994261,-0.005,6,yes,-0.005,6
133,yes,0.12599999999451938,-1,2,yes,-0.005,6
134,yes,0.7069999999913534,-12.009999999999998,23,yes,-0.005,6
135,yes,0.335999999990122,-5.0040000000000004,10,yes,-0.005,6
136,yes,0.240000000005125,-4.0009999999999994,6,yes,-0.005,6
137,yes,1.0529999999988604,-10.012,23,yes,-0.005,6
138,yes,1.170999999999367,-10.018999999999995,30,yes,-0.005,6
139,yes,1.3309999999933098,-8.014,23,yes,-0.005,6
140,yes,0.4210000000028913,-5.005999999999999,12,yes,-0.005,6
141,yes,0.9529999999955407,-15.018999999999998,35,yes,-0.005,6
142,yes,0.1850000000018781,-2.001,4,yes,-0.005,6
143,yes,0.43200000000354066,-5.008,14,yes,-0.005,6
144,yes,1.2129999999928032,-19.025999999999996,46,yes,-0.005,6
145,yes,0.286000000002673,-0.007,8,yes,-0.005,6
146,yes,0.41099999999971715,-5.007,13,yes,-0.005,6
147,yes,0.1850000000018781,-3,4,yes,-0.005,6
148,yes,0.47800000000108867,-4.011,16,yes,-0.005,6
149,yes,0.8289999999959718,-10.020000000000001,31,yes,-0.005,6
150,yes,0.332000000000221,-2.0069999999999992,10,yes,-0.005,6
151,yes,0.3829999999993561,-2.0089999999999995,12,yes,-0.005,6
