episode,train goal?,train time (ms),train reward,train step,val goal?,val reward,val step
1,,1388.2070000108797,-1107.4039999997678,12500,,-12.499999999998511,12500
2,,1721.4839999942342,-586.9249999998259,12500,,-12.499999999998511,12500
3,,2123.1059999990975,-704.8069999998687,12500,,-12.499999999998511,12500
4,,2206.8120000039926,-468.0439999999611,12500,,-12.499999999998511,12500
5,yes,1352.7429999958258,-196.40800000001965,7598,,-12.499999999998511,12500
6,yes,1990.9320000006119,-410.04999999988206,12449,,-12.499999999998511,12500
7,yes,1734.377000000677,-341.1419999999798,10474,,-12.499999999998511,12500
8,yes,1565.9989999985555,-344.49799999993326,6837,,-12.499999999998511,12500
9,yes,1184.651000003214,-230.0340000000224,7258,,-12.499999999998511,12500
10,yes,247.6790000073379,-49.814999999999834,1864,,-12.499999999998511,12500
11,yes,1232.850000000326,-204.26000000001852,5460,,-12.499999999998511,12500
12,,1952.9270000057295,-274.23800000000244,12500,,-12.499999999998511,12500
13,yes,326.8640000023879,-37.52399999999935,1561,,-12.499999999998511,12500
14,yes,224.84900000563357,-39.38600000000019,1425,,-12.499999999998511,12500
15,yes,454.8450000002049,-56.94099999999715,1997,,-12.499999999998511,12500
16,yes,927.8879999910714,-141.86700000001233,6004,,-12.499999999998511,12500
17,yes,817.2300000005635,-144.04100000001196,5181,,-12.499999999998511,12500
18,yes,1170.1949999987846,-141.62200000002278,6758,,-12.499999999998511,12500
19,yes,407.8989999979967,-87.18800000000064,3273,,-12.499999999998511,12500
20,yes,513.7600000016391,-119.24900000000447,2367,,-12.499999999998511,12500
21,yes,186.4659999992,-28.03100000000057,1059,,-12.499999999998511,12500
22,yes,250.82600000314415,-45.68899999999872,1734,,-12.499999999998511,12500
23,yes,371.05899999733083,-34.85499999999945,1889,,-12.499999999998511,12500
24,yes,287.91199999977835,-60.333999999997204,2393,,-12.499999999998511,12500
25,yes,303.05099999532104,-32.617000000000886,1649,,-12.499999999998511,12500
26,yes,214.56699998816475,-23.092000000000564,1115,,-12.499999999998511,12500
27,yes,331.78599999519065,-43.49199999999834,1535,,-12.499999999998511,12500
28,yes,290.06899999512825,-42.77300000000049,1815,,-12.499999999998511,12500
29,yes,394.3800000124611,-63.08399999999979,2146,,-12.499999999998511,12500
30,yes,103.07700000703335,-17.5910000000001,609,,-12.499999999998511,12500
31,yes,292.622000008123,-42.998999999998944,2041,,-12.499999999998511,12500
32,yes,209.58300000347663,-45.51899999999915,1564,,-12.499999999998511,12500
33,yes,211.35399999911897,-43.877999999999794,922,,-12.499999999998511,12500
34,yes,220.78099999635015,-28.01500000000048,1043,,-12.499999999998511,12500
35,yes,266.90200000302866,-44.00699999999851,2050,,-12.499999999998511,12500
36,yes,172.94200000469573,-52.22199999999935,1274,,-12.499999999998511,12500
37,yes,392.77099999890197,-82.50300000000105,1585,,-12.499999999998511,12500
38,yes,439.8099999962142,-69.3589999999979,2427,,-12.499999999998511,12500
39,yes,176.9639999984065,-22.19900000000029,1221,,-12.499999999998511,12500
40,yes,246.07999999716412,-24.327000000000577,1351,,-12.499999999998511,12500
41,yes,229.8810000065714,-18.469000000000094,1487,,-12.499999999998511,12500
42,yes,166.68700000445824,-12.773999999999937,787,,-12.499999999998511,12500
43,yes,104.42699999839533,-11.473000000000084,485,,-12.499999999998511,12500
44,yes,138.12400000460912,-11.76499999999982,777,,-12.499999999998511,12500
45,yes,75.09900000877678,-13.4049999999999,419,,-12.499999999998511,12500
46,yes,151.2430000002496,-22.648000000000152,671,,-12.499999999998511,12500
47,yes,218.23800000129268,-26.920000000000808,947,,-12.499999999998511,12500
48,yes,154.52900000673253,-47.40099999999987,1448,,-12.499999999998511,12500
49,yes,129.21100000676233,-15.594999999999747,611,,-12.499999999998511,12500
50,yes,84.4820000056643,-11.424999999999914,437,,-12.499999999998511,12500
51,yes,286.0860000073444,-71.01899999999931,2089,,-12.499999999998511,12500
52,yes,171.07099998975173,-32.42900000000066,1461,,-12.499999999998511,12500
53,yes,123.33099999523256,-17.716000000000054,734,,-12.499999999998511,12500
54,yes,135.07399999070913,-45.90700000000074,953,,-12.499999999998511,12500
55,yes,105.45799999090377,-15.544999999999908,561,,-12.499999999998511,12500
56,yes,106.25100000470411,-20.692000000000043,713,,-12.499999999998511,12500
57,yes,83.51200001197867,-13.617999999999896,632,,-12.499999999998511,12500
58,yes,89.28700000979006,-15.524999999999876,541,,-12.499999999998511,12500
59,yes,215.3719999914756,-53.49999999999921,1553,,-12.499999999998511,12500
60,yes,159.25500000594184,-19.781000000000432,801,,-12.499999999998511,12500
61,yes,108.54200000176206,-16.70399999999983,721,,-12.499999999998511,12500
62,yes,252.37899999774527,-49.60800000000072,1657,,-12.499999999998511,12500
63,yes,133.35499999811873,-23.951000000000246,975,,-12.499999999998511,12500
64,yes,193.69600000209175,-22.005000000000265,1027,,-12.499999999998511,12500
65,yes,427.2519999940414,-55.698999999997916,1754,,-12.499999999998511,12500
66,yes,70.7609999954002,-25.60300000000026,629,,-12.499999999998511,12500
67,yes,75.66200000292156,-12.415999999999842,429,,-12.499999999998511,12500
68,yes,109.4440000015311,-16.491999999999813,509,,-12.499999999998511,12500
69,yes,182.89799999911338,-28.830000000000368,859,,-12.499999999998511,12500
70,yes,108.19300000730436,-20.457,478,,-12.499999999998511,12500
71,yes,221.16400000231806,-48.42499999999964,1473,,-12.499999999998511,12500
72,yes,161.47299998556264,-17.89300000000008,911,,-12.499999999998511,12500
73,yes,154.05700000701472,-26.986000000000217,1013,,-12.499999999998511,12500
74,yes,179.75500000466127,-11.892999999999912,905,,-12.499999999998511,12500
75,yes,174.78900001151487,-23.91400000000017,938,,-12.499999999998511,12500
76,yes,314.79800000670366,-69.5409999999994,1610,,-12.499999999998511,12500
77,yes,145.9610000019893,-19.907000000000203,927,,-12.499999999998511,12500
78,yes,61.00400000286754,-11.411000000000046,423,,-12.499999999998511,12500
79,yes,121.77599999995437,-5.638999999999985,645,,-12.499999999998511,12500
80,yes,116.59799999324605,-20.82400000000005,845,,-12.499999999998511,12500
81,yes,210.65100000123493,-22.151000000000312,1173,,-12.499999999998511,12500
82,yes,226.38500000175554,-27.13200000000022,1159,,-12.499999999998511,12500
83,yes,102.57999999157619,-14.565999999999784,581,,-12.499999999998511,12500
84,yes,192.66999998944812,-17.78100000000018,799,,-12.499999999998511,12500
85,yes,227.29499998968095,-26.087000000000348,1113,,-12.499999999998511,12500
86,yes,460.10100000421517,-72.81699999999921,1889,,-12.499999999998511,12500
87,yes,189.513999997871,-16.969999999999583,987,,-12.499999999998511,12500
88,yes,90.54699999978766,-12.497999999999996,511,,-12.499999999998511,12500
89,yes,66.18199999502394,-16.467999999999925,485,,-12.499999999998511,12500
90,yes,95.02900000370573,-16.430000000000053,447,,-12.499999999998511,12500
91,yes,235.87999999290332,-19.036999999999797,1056,,-12.499999999998511,12500
92,yes,104.93500001030043,-11.61899999999987,631,,-12.499999999998511,12500
93,yes,154.17199999501463,-17.813000000000002,831,,-12.499999999998511,12500
94,yes,225.53999999945518,-42.68599999999976,1728,,-12.499999999998511,12500
95,yes,178.4990000014659,-30.336000000000453,1366,,-12.499999999998511,12500
96,yes,121.78899999707937,-27.722000000000182,750,,-12.499999999998511,12500
97,yes,183.51699999766424,-23.220000000000045,1243,,-12.499999999998511,12500
98,yes,95.38799998699687,-20.808000000000092,829,,-12.499999999998511,12500
99,yes,112.61299999023322,-17.705000000000137,723,,-12.499999999998511,12500
100,yes,64.05900001118425,-10.33500000000008,346,,-12.499999999998511,12500
101,yes,235.1760000019567,-55.956999999997954,2012,,-12.499999999998511,12500
102,yes,106.03100000298582,-24.582000000000043,607,,-12.499999999998511,12500
103,yes,119.61099998734426,-13.510999999999969,525,,-12.499999999998511,12500
104,yes,284.40999999293126,-31.31200000000098,1343,,-12.499999999998511,12500
105,yes,222.19299999414943,-45.89900000000026,945,,-12.499999999998511,12500
106,yes,126.233000002685,-13.870999999999807,885,,-12.499999999998511,12500
107,yes,126.63199999951757,-17.51599999999995,534,,-12.499999999998511,12500
108,yes,153.64099999715108,-11.732999999999883,745,,-12.499999999998511,12500
109,yes,108.50899999786634,-14.520000000000067,535,,-12.499999999998511,12500
110,yes,75.73699999193195,-12.535999999999886,549,,-12.499999999998511,12500
111,yes,93.49400000064634,-21.78400000000008,806,,-12.499999999998511,12500
112,yes,200.62700001290068,-18.10900000000036,1127,,-12.499999999998511,12500
113,yes,125.88700000196695,-8.574000000000032,583,,-12.499999999998511,12500
114,yes,111.4510000043083,-27.81300000000034,841,,-12.499999999998511,12500
115,yes,109.15899999963585,-20.437000000000054,458,,-12.499999999998511,12500
116,yes,232.59100000723265,-35.94999999999993,986,,-12.499999999998511,12500
117,yes,138.30200000666082,-7.636999999999955,645,,-12.499999999998511,12500
118,yes,142.31199999630917,-18.75800000000012,777,,-12.499999999998511,12500
119,yes,138.01699999021366,-29.609000000000574,639,,-12.499999999998511,12500
120,yes,104.64599999249913,-17.58099999999996,599,,-12.499999999998511,12500
121,yes,115.78299998654984,-20.81599999999989,837,,-12.499999999998511,12500
122,yes,102.68499999074265,-7.477000000000104,485,,-12.499999999998511,12500
123,yes,185.60299999080598,-37.94100000000025,979,,-12.499999999998511,12500
124,yes,57.26300000969786,-1.2749999999999886,277,,-12.499999999998511,12500
125,yes,87.20300000277348,-11.375000000000064,387,,-12.499999999998511,12500
126,yes,224.38600000168663,-33.577000000000275,1610,,-12.499999999998511,12500
127,yes,67.74199999927077,-16.486000000000136,503,,-12.499999999998511,12500
128,yes,139.37100001203362,-19.085999999999895,1105,,-12.499999999998511,12500
129,yes,100.96099998918362,-1.5969999999999975,599,,-12.499999999998511,12500
130,yes,173.98900000262074,-22.746000000000425,769,,-12.499999999998511,12500
131,yes,57.388999994145706,-5.367000000000026,373,,-12.499999999998511,12500
132,yes,122.01000000641216,-18.54299999999981,562,,-12.499999999998511,12500
