episode,train goal?,train time (ms),train reward,train step,val goal?,val reward,val step
1,,790.3239999941434,-1616.8939999997535,12500,,-12.499999999998511,12500
2,,906.3210000022082,-673.837999999891,12500,,-12.499999999998511,12500
3,,1300.3690000041388,-877.6339999998426,12500,,-12.499999999998511,12500
4,,990.165999995952,-374.1379999998908,12500,,-12.499999999998511,12500
5,,1145.6780000007711,-403.1089999998884,12500,,-12.499999999998511,12500
6,yes,762.3759999987669,-263.2500000000067,7507,,-12.499999999998511,12500
7,yes,1011.568999994779,-223.53300000002548,9748,,-12.499999999998511,12500
8,yes,732.9599999939092,-74.39499999999704,7463,,-12.499999999998511,12500
9,yes,761.302999999316,-144.02800000001216,10163,,-12.499999999998511,12500
10,yes,177.2819999969215,-26.25400000000067,2279,,-12.499999999998511,12500
11,yes,332.0270000040182,-34.49600000000009,3528,,-12.499999999998511,12500
12,yes,358.94099999859463,-97.97400000000091,3070,,-12.499999999998511,12500
13,yes,219.5480000009411,-37.94500000000072,1982,,-12.499999999998511,12500
14,yes,267.03599999746075,-30.133000000000834,3161,,-12.499999999998511,12500
15,yes,282.00099999958184,-29.708000000002183,3735,,-12.499999999998511,12500
16,yes,218.4530000013183,-26.19300000000055,3217,,-12.499999999998511,12500
17,yes,494.02700000064215,-48.164999999997264,4210,,-12.499999999998511,12500
18,yes,67.84699999843724,-14.714999999999742,730,,-12.499999999998511,12500
19,yes,280.9259999994538,-27.816000000001253,2842,,-12.499999999998511,12500
20,yes,304.62400000396883,-40.62699999999835,3665,,-12.499999999998511,12500
21,yes,170.99999999481952,-30.459000000000444,2488,,-12.499999999998511,12500
22,yes,161.722999997437,-15.076999999999467,2091,,-12.499999999998511,12500
23,yes,332.58500000374625,-22.78200000000033,2803,,-12.499999999998511,12500
24,yes,152.35699999902863,-22.000000000000338,2021,,-12.499999999998511,12500
25,yes,320.79199999861885,-26.121000000002073,3145,,-12.499999999998511,12500
26,yes,72.0900000014808,-6.810000000000017,817,,-12.499999999998511,12500
27,yes,209.2479999992065,-21.590000000000774,2610,,-12.499999999998511,12500
28,yes,279.1010000000824,-34.86300000000204,3895,,-12.499999999998511,12500
29,yes,119.22100000083447,-14.19999999999973,1214,,-12.499999999998511,12500
30,yes,381.01199999800883,-65.24800000000022,4310,,-12.499999999998511,12500
31,yes,104.45199999958277,-13.45499999999972,1468,,-12.499999999998511,12500
32,yes,115.35299999377457,-16.46299999999967,1479,,-12.499999999998511,12500
33,yes,197.86300000123447,-40.931999999999995,2971,,-12.499999999998511,12500
34,yes,108.7859999970533,-25.762000000000526,1787,,-12.499999999998511,12500
35,yes,270.8490000004531,-29.939000000000842,2967,,-12.499999999998511,12500
36,yes,86.62200000253506,-5.817999999999919,824,,-12.499999999998511,12500
37,yes,78.2889999973122,-1.7899999999999168,792,,-12.499999999998511,12500
38,yes,272.3210000040126,-40.30400000000062,2343,,-12.499999999998511,12500
39,yes,186.6440000012517,-15.818999999999644,1834,,-12.499999999998511,12500
40,yes,140.71900000271853,-13.328000000000047,1341,,-12.499999999998511,12500
41,yes,111.55799999687588,-9.081999999999944,1091,,-12.499999999998511,12500
42,yes,143.143000001146,-16.951999999999465,1968,,-12.499999999998511,12500
43,yes,229.06800000055227,-37.82399999999949,1861,,-12.499999999998511,12500
44,yes,99.27600000082748,-17.58200000000048,1599,,-12.499999999998511,12500
45,yes,77.66500000434462,-8.731000000000085,740,,-12.499999999998511,12500
46,yes,74.20899999851827,-9.021000000000017,1030,,-12.499999999998511,12500
47,yes,156.4520000029006,-16.34299999999966,1359,,-12.499999999998511,12500
48,yes,77.25599999685073,-11.054000000000144,1065,,-12.499999999998511,12500
49,yes,49.42799999844283,-2.561999999999975,565,,-12.499999999998511,12500
50,yes,234.26000000472413,-23.00400000000025,2026,,-12.499999999998511,12500
51,yes,76.30300000164425,-5.705000000000058,711,,-12.499999999998511,12500
52,yes,143.49299999594223,-33.174000000000866,2206,,-12.499999999998511,12500
53,yes,81.77199999772711,-16.269000000000048,1285,,-12.499999999998511,12500
54,yes,71.54099999752361,-6.664000000000067,671,,-12.499999999998511,12500
55,yes,149.1669999959413,-29.233000000000267,1262,,-12.499999999998511,12500
56,yes,110.26100000162842,-25.359000000000414,1384,,-12.499999999998511,12500
57,yes,70.61699999758275,-2.755999999999951,759,,-12.499999999998511,12500
58,yes,169.5319999998901,-20.936000000000398,1956,,-12.499999999998511,12500
59,yes,89.87699999852339,-4.741999999999961,747,,-12.499999999998511,12500
60,yes,208.34800000011455,-22.27200000000055,2293,,-12.499999999998511,12500
61,yes,192.80000000435393,-9.606999999999976,1616,,-12.499999999998511,12500
62,yes,162.31499999412335,-20.84000000000031,1860,,-12.499999999998511,12500
63,yes,117.0750000019325,-7.097999999999993,1105,,-12.499999999998511,12500
